Backup Log: C:\Users\vmadmin\lilaluBackup\lilaluLog.txt
 
Copy from: C:\Users\vmadmin\lilalu
To:        C:\Users\vmadmin\lilaluBackup
 
Operation     Time                   DateiName
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 2\2 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 2\2 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 2\2 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 2\2 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 3\3 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 3\3 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 3\3 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 3\3 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 3\3 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 4\4 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 4\4 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 4\4 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 4\4 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 4\4 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 5\5 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 5\5 Textdokument - Kopie (3).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 5\5 Textdokument - Kopie (4).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 5\5 Textdokument - Kopie.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 5\5 Textdokument.txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 6\6 Textdokument - Kopie (2).txt
Copy File     18.12.2021 18:25:08    .\lilalu\Ordner 6\6 Textdokument - Kopie (3).txt
